n,sum
2,-27
4,-26.25
8,-25.3125
16,-24.703125
32,-24.36328125
64,-24.1845703125
128,-24.093017578125
256,-24.0466918945313
512,-24.0233917236328
1024,-24.0117073059082
n;darb_hi;darb_lo
2;-3.0;-60.0
4;-11.25;-40.875
8;-17.0625;-32.015625
16;-20.390625;-27.884765625
32;-22.16015625;-25.909423828125
64;-23.0712890625;-24.946197509765625
128;-23.533447265625;-24.470935821533203
256;-23.76617431640625;-24.234922885894775
512;-23.882949829101562;-24.117324650287628
1024;-23.94144058227539;-24.05862805992365
